name,title,url,description,author,type,status,updated_at
ckanext-urn,URN fetching extension for CKAN,https://github.com/kata-csc/ckanext-urn,,Kata team repository,Extension,,2013-10-11T12:50:51Z
ckanext-usertesting,Small extension for a custom theme for user testing,https://github.com/okfn/ckanext-usertesting,,Open Knowledge,Extension,,2013-10-09T23:10:51Z
ckanext-utilities,Maintenance functions for data.gc.ca,https://github.com/thriuin/ckanext-utilities,,thriuin,Extension,,2013-11-27T18:34:07Z
ckanext-vdmauth,,https://github.com/fprieur/ckanext-vdmauth,,fprieur,Extension,,2014-01-15T21:34:01Z
ckanext-vdojstats,statistic function,https://github.com/XVTSolutions/ckanext-vdojstats,,XVTSolutions,Extension,,2014-04-22T20:48:15Z
ckanext-vdojtheme,,https://github.com/XVTSolutions/ckanext-vdojtheme,,XVTSolutions,Extension,,2014-05-01T22:33:06Z
ckanext-vds,,https://github.com/Quatral/ckanext-vds,,Quatral Solutions,Extension,,2014-03-27T15:29:57Z
ckanext-vectorstorer,"CKAN extension to upload vector geospatial data, store and publish through OGC services.",https://github.com/PublicaMundi/ckanext-vectorstorer,,PublicaMundi,Extension,,2014-04-28T12:23:25Z
ckanext-vegaview,VegaJS' view extension for CKAN,https://github.com/okfn/ckanext-vegaview,,Open Knowledge,Extension,,2014-05-04T15:39:41Z
ckanext-viewhelpers,Helpers for creating views for CKAN,https://github.com/ckan/ckanext-viewhelpers,,CKAN,Extension,,2014-04-09T20:44:53Z
ckanext-webhooks,,https://github.com/okfn/ckanext-webhooks,,Open Knowledge,Extension,,2013-12-17T21:25:07Z
ckanext-wet-boew,CKAN extension that adds the Web Experience Toolkit to CKAN 2.0,https://github.com/open-data/ckanext-wet-boew,,Open Data Initiative - Initiative sur les données ouvertes,Extension,,2014-05-02T15:47:18Z
ckanext-wordpresser,Wordpress integration for CKAN,https://github.com/okfn/ckanext-wordpresser,,Open Knowledge,Extension,,2014-01-15T13:20:11Z
ckanext-wotkit,Extensions to the CKAN open data portal for WoTKit integration,https://github.com/SenseTecnic/ckanext-wotkit,,"Sense Tecnic Systems, Inc.",Extension,,2013-12-11T00:05:11Z
ckanext-xvt,boilerplate ckan extension,https://github.com/XVTSolutions/ckanext-xvt,,XVTSolutions,Extension,,2014-02-25T01:25:51Z
ckanext-youckan,YouCKAN connector for CKAN,https://github.com/etalab/ckanext-youckan,,Etalab,Extension,,2014-02-26T14:22:09Z
ckanext-ytp-dataset,Chages to open data datamodel in YTP,https://github.com/yhteentoimivuuspalvelut/ckanext-ytp-dataset,,yhteentoimivuuspalvelut,Extension,,2014-04-08T06:50:36Z
ckanext-ytp-drupal,CKAN Drupal data,https://github.com/yhteentoimivuuspalvelut/ckanext-ytp-drupal,,yhteentoimivuuspalvelut,Extension,,2014-04-04T07:38:01Z
ckanext-ytp-main,Avoindata main CKAN extension,https://github.com/yhteentoimivuuspalvelut/ckanext-ytp-main,,yhteentoimivuuspalvelut,Extension,,2014-04-07T12:58:56Z
ckanext-ytp-organizations,YTP group CKAN extension,https://github.com/yhteentoimivuuspalvelut/ckanext-ytp-organizations,,yhteentoimivuuspalvelut,Extension,,2014-04-08T06:51:38Z
ckanext-ytp-request,Organization member request handling,https://github.com/yhteentoimivuuspalvelut/ckanext-ytp-request,,yhteentoimivuuspalvelut,Extension,,2014-03-06T08:58:54Z
ckanext-ytp-tasks,Task handling for YTP,https://github.com/yhteentoimivuuspalvelut/ckanext-ytp-tasks,,yhteentoimivuuspalvelut,Extension,,2014-03-25T10:52:10Z
ckanext-ytp-theme,,https://github.com/yhteentoimivuuspalvelut/ckanext-ytp-theme,,yhteentoimivuuspalvelut,Extension,,2014-04-08T06:52:38Z
ckanext-ytp-tools,Provides miscellaneous CKAN extension tools,https://github.com/yhteentoimivuuspalvelut/ckanext-ytp-tools,,yhteentoimivuuspalvelut,Extension,,2014-02-27T17:13:20Z
ckanext-ytp-user,User customizations for YTP project.,https://github.com/yhteentoimivuuspalvelut/ckanext-ytp-user,,yhteentoimivuuspalvelut,Extension,,2014-04-08T06:49:42Z
ckanext-zhgis,Harvester for the Office for Spatial Development of the Canton of Zurich,https://github.com/ogdch/ckanext-zhgis,,OGD Switzerland,Extension,,2014-02-14T12:46:25Z
ckanext-zhstat,Harvester for the Statistical Office of Canton of Zurich,https://github.com/ogdch/ckanext-zhstat,,OGD Switzerland,Extension,,2014-02-20T17:51:47Z
ckanext_notification,An example of CKAN extension. Notify new resource via the twitter,https://github.com/shidax/ckanext_notification,,shidax,Extension,,2014-05-02T23:01:45Z
ckanextcustomfields,,https://github.com/LeeDongHoon/ckanextcustomfields,,LeeDongHoon,Extension,,2013-07-30T02:20:40Z
inventory-template,PHP script to generate an XLS file ready for import to ckanext-dgu,https://github.com/datagovuk/inventory-template,,Data.Gov.UK - Cabinet Office,Extension,,2013-09-30T14:00:59Z
landportal-ckanext-drupal,CKAN extension to manage logins and logouts from Drupal,https://github.com/weso/landportal-ckanext-drupal,,weso,Extension,,2014-02-17T17:58:41Z
